Microbes,truth,prob.-1,prob.1,response,group
Lactobacillus panis,NA,0.006654228200410001,0.99334577179959,1,Lactobacillus panis_1
Lactobacillus fermentum,NA,0.007012067816846131,0.9929879321831538,1,Lactobacillus fermentum_1
Megasphaera elsdenii,NA,0.007214719078967348,0.9927852809210327,1,Megasphaera elsdenii_1
Bifidobacterium longum,NA,0.007573046141945082,0.9924269538580549,1,Bifidobacterium longum_1
Lactobacillus graminis,NA,0.008898267820120072,0.99110173217988,1,Lactobacillus graminis_1
Lactobacillus taiwanensis,NA,0.009657100670834091,0.9903428993291659,1,Lactobacillus taiwanensis_1
Lactobacillus jensenii,NA,0.010649103238024052,0.989350896761976,1,Lactobacillus jensenii_1
Pseudomonas fuscovaginae,NA,0.01071164654447433,0.9892883534555257,1,Pseudomonas fuscovaginae_1
Escherichia fergusonii,NA,0.01245960546515493,0.9875403945348451,1,Escherichia fergusonii_1
Pedobacter ginsenosidimutans,NA,0.014040147415810377,0.9859598525841896,1,Pedobacter ginsenosidimutans_1
Lactobacillus oryzae,NA,0.01521029587038944,0.9847897041296105,1,Lactobacillus oryzae_1
Lactobacillus kitasatonis,NA,0.01583307192942838,0.9841669280705716,1,Lactobacillus kitasatonis_1
Lactobacillus ultunensis,NA,0.017651020496080028,0.98234897950392,1,Lactobacillus ultunensis_1
Lactobacillus kefiranofaciens,NA,0.06422825365681514,0.9357717463431848,1,Lactobacillus kefiranofaciens_1
Lactobacillus senmaizukei,NA,0.274773753942208,0.7252262460577921,1,Lactobacillus senmaizukei_1
Lactobacillus amylolyticus,NA,0.28527939342364883,0.7147206065763512,1,Lactobacillus amylolyticus_1
Lactobacillus gallinarum,NA,0.33459073669953165,0.6654092633004683,1,Lactobacillus gallinarum_1
Lactobacillus vaginalis,NA,0.48648195274698697,0.513518047253013,0,Lactobacillus vaginalis_1
Lactobacillus intestinalis,NA,0.5302866757275811,0.46971332427241885,-1,Lactobacillus intestinalis_-1
Lactobacillus delbrueckii,NA,0.8183351616688858,0.18166483833111424,-1,Lactobacillus delbrueckii_-1
Lactobacillus helveticus,NA,0.9992005975240726,7.994024759273577e-4,-1,Lactobacillus helveticus_-1
Lactobacillus,NA,0.9999998021459963,1.9785400373617534e-7,-1,Lactobacillus_-1
Lactobacillus crispatus,-1,0.9999999,9.999999994736442e-8,-1,Lactobacillus crispatus_-1
Lactobacillus iners,-1,0.9999999,9.999999994736442e-8,-1,Lactobacillus iners_-1
